Tweet
Weak people revenge Strong people forgive Intelligent people ignore
“Intelligence without ambition is a bird without wings”
Success doesn't come to you; you go to it
Hard times teach us valuable lessons
More than 90% of people are no longer friends with someone that they once called their best friend
True friends never count things they count memories
Don't hate what you don't understand
Never give up Great things take time
"""You need power only when you want to do somthings harmfull other wise smile and love is enough to get evrythings"""
Before talking: Please connect the tongue to the brain
Your best teacher is your last mistake
A friendship without bullying is absolutely boring
"Work hard in silence, let your success be your noise"
"Once you replace negative thoughts with positive ones, you'll start having positive results"
"The two hardest things to say in life are ""hello"" for the first time and ""goodbye"" for the last"
"Words can hurt others, but sometimes, silence hurts even more than words"
be good to people for no reason
"Every achievement, big or small, begins in your mind 👍"
"Successful people build each other up They motivate, inspire and push each other Unsuccessful people hate, blame, and complain"
The weak can never forgive Forgiveness is the attribute of the strong
