year,quarter,region,economic_activity,facility_size,no_of_faicility,saudi_employees,male_saudies,female_saudies,foreign_employees,male_foreigners,female_foreigners
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,كبيرة,1,271,248,23,2028,2025,3
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,متناهية الصغر,6265,496,256,240,16053,15518,535
2023,1,منطقة مكة المكرمة,صيد الأسماك وتربية المائيات,متوسطة,2,31,30,1,248,248,0
2023,1,منطقة نجران,صيد الأسماك وتربية المائيات,صغيرة,20,11,2,9,140,140,0
2023,1,منطقة نجران,صيد الأسماك وتربية المائيات,متناهية الصغر,2197,141,69,72,6365,6351,14
2023,1,المنطقة الشرقية,الصناعة,صغيرة,667,1957,1141,816,7591,7582,9
2023,1,المنطقة الشرقية,الصناعة,كبيرة,23,7051,6345,706,6473,6462,11
2023,1,المنطقة الشرقية,الصناعة,متناهية الصغر,1486,452,244,208,3397,3395,2
2023,1,المنطقة الشرقية,الصناعة,متوسطة,111,3037,2190,847,8358,8348,10
2023,1,منطقة الباحة,الصناعة,صغيرة,21,23,13,10,120,120,0
2023,1,منطقة الباحة,الصناعة,متناهية الصغر,327,50,34,16,661,661,0
2023,1,منطقة الجوف,الصناعة,صغيرة,28,35,24,11,239,239,0
2023,1,منطقة الجوف,الصناعة,متناهية الصغر,311,29,25,4,698,697,1
2023,1,منطقة الحدود الشمالية,الصناعة,صغيرة,19,35,19,16,225,225,0
2023,1,منطقة الحدود الشمالية,الصناعة,متناهية الصغر,121,17,6,11,293,290,3
2023,1,منطقة الرياض,الصناعة,صغيرة,963,3064,1267,1797,12531,12482,49
2023,1,منطقة الرياض,الصناعة,كبيرة,18,2327,1442,885,6480,6457,23
2023,1,منطقة الرياض,الصناعة,متناهية الصغر,2666,632,291,341,6043,6014,29
2023,1,منطقة الرياض,الصناعة,متوسطة,174,4104,2067,2037,13034,13007,27
2023,1,منطقة القصيم,الصناعة,صغيرة,169,336,190,146,1632,1630,2
2023,1,منطقة القصيم,الصناعة,كبيرة,1,117,96,21,376,376,0
2023,1,منطقة القصيم,الصناعة,متناهية الصغر,1240,185,104,81,2973,2968,5
2023,1,منطقة القصيم,الصناعة,متوسطة,9,164,101,63,654,653,1
2023,1,منطقة المدينة المنورة,الصناعة,صغيرة,97,198,91,107,974,973,1
2023,1,منطقة المدينة المنورة,الصناعة,متناهية الصغر,667,114,66,48,1543,1541,2
2023,1,منطقة المدينة المنورة,الصناعة,متوسطة,9,337,219,118,748,746,2
2023,1,منطقة تبوك,الصناعة,صغيرة,33,70,42,28,360,359,1
2023,1,منطقة تبوك,الصناعة,متناهية الصغر,227,40,22,18,562,561,1
2023,1,منطقة تبوك,الصناعة,متوسطة,2,43,21,22,117,116,1
2023,1,منطقة جازان,الصناعة,صغيرة,42,91,57,34,361,360,1
2023,1,منطقة جازان,الصناعة,متناهية الصغر,844,87,51,36,2073,2071,2
2023,1,منطقة جازان,الصناعة,متوسطة,1,15,5,10,41,41,0
2023,1,منطقة حائل,الصناعة,صغيرة,56,112,42,70,600,600,0
2023,1,منطقة حائل,الصناعة,متناهية الصغر,238,45,21,24,528,525,3
2023,1,منطقة حائل,الصناعة,متوسطة,2,55,37,18,66,66,0
2023,1,منطقة عسير,الصناعة,صغيرة,90,231,130,101,921,921,0
2023,1,منطقة عسير,الصناعة,متناهية الصغر,1111,159,82,77,2565,2565,0
2023,1,منطقة عسير,الصناعة,متوسطة,8,109,57,52,513,513,0
2023,1,منطقة مكة المكرمة,الصناعة,صغيرة,374,1042,514,528,4484,4455,29
2023,1,منطقة مكة المكرمة,الصناعة,كبيرة,9,930,679,251,2426,2420,6
2023,1,منطقة مكة المكرمة,الصناعة,متناهية الصغر,2173,328,178,150,5128,5113,15
2023,1,منطقة مكة المكرمة,الصناعة,متوسطة,77,2245,1563,682,6498,6476,22
2023,1,منطقة نجران,الصناعة,صغيرة,14,14,4,10,101,101,0
2023,1,منطقة نجران,الصناعة,متناهية الصغر,343,33,14,19,839,837,2
2023,1,منطقة نجران,الصناعة,متوسطة,1,7,3,4,44,44,0
2023,1,المنطقة الشرقية,الصناعة,صغيرة,296,1070,606,464,4687,4684,3
2023,1,المنطقة الشرقية,الصناعة,كبيرة,16,2176,1684,492,5396,5392,4
2023,1,المنطقة الشرقية,الصناعة,متناهية الصغر,377,128,77,51,902,899,3
