year,quarter,region,economic_activity,facility_size,no_of_faicility,saudi_employees,male_saudies,female_saudies,foreign_employees,male_foreigners,female_foreigners
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,2,4,2,2,2,2,0
2023,1,المنطقة الشرقية,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متوسطة,4,299,183,116,141,140,1
2023,1,منطقة الباحة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,1,0,0,0,4,4,0
2023,1,منطقة الرياض,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,صغيرة,6,100,78,22,37,36,1
2023,1,منطقة الرياض,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,كبيرة,7,3105,1907,1198,805,770,35
2023,1,منطقة الرياض,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,26,24,10,14,13,13,0
2023,1,منطقة الرياض,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متوسطة,9,931,679,252,342,327,15
2023,1,منطقة المدينة المنورة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,4,2,0,2,7,6,1
2023,1,منطقة جازان,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,1,1,1,0,2,2,0
2023,1,منطقة عسير,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,1,0,0,0,1,1,0
2023,1,منطقة مكة المكرمة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,صغيرة,10,167,102,65,49,48,1
2023,1,منطقة مكة المكرمة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,كبيرة,1,860,443,417,381,312,69
2023,1,منطقة مكة المكرمة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,8,1,1,0,10,10,0
2023,1,منطقة مكة المكرمة,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متوسطة,5,626,393,233,224,215,9
2023,1,منطقة نجران,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,متناهية الصغر,2,0,0,0,5,5,0
2023,1,المنطقة الشرقية,التعدين,صغيرة,10,16,13,3,92,92,0
2023,1,المنطقة الشرقية,التعدين,كبيرة,1,570,566,4,3,3,0
2023,1,المنطقة الشرقية,التعدين,متناهية الصغر,55,18,12,6,115,115,0
2023,1,المنطقة الشرقية,التعدين,متوسطة,1,77,65,12,54,53,1
2023,1,منطقة الباحة,التعدين,متناهية الصغر,4,0,0,0,5,5,0
2023,1,منطقة الجوف,التعدين,متناهية الصغر,1,0,0,0,4,4,0
2023,1,منطقة الحدود الشمالية,التعدين,متناهية الصغر,3,0,0,0,7,7,0
2023,1,منطقة الرياض,التعدين,صغيرة,15,50,29,21,190,189,1
2023,1,منطقة الرياض,التعدين,متناهية الصغر,32,19,14,5,56,56,0
2023,1,منطقة الرياض,التعدين,متوسطة,2,66,30,36,94,94,0
2023,1,منطقة القصيم,التعدين,صغيرة,1,0,0,0,8,8,0
2023,1,منطقة القصيم,التعدين,متناهية الصغر,12,2,2,0,29,29,0
2023,1,منطقة القصيم,التعدين,متوسطة,1,90,90,0,14,14,0
2023,1,منطقة المدينة المنورة,التعدين,متناهية الصغر,7,1,1,0,15,15,0
2023,1,منطقة تبوك,التعدين,صغيرة,1,0,0,0,6,6,0
2023,1,منطقة جازان,التعدين,صغيرة,1,13,3,10,0,0,0
2023,1,منطقة جازان,التعدين,متناهية الصغر,7,0,0,0,21,21,0
2023,1,منطقة حائل,التعدين,متناهية الصغر,2,0,0,0,5,5,0
2023,1,منطقة عسير,التعدين,صغيرة,4,5,2,3,29,29,0
2023,1,منطقة عسير,التعدين,متناهية الصغر,33,5,4,1,62,62,0
2023,1,منطقة مكة المكرمة,التعدين,صغيرة,6,26,8,18,79,77,2
2023,1,منطقة مكة المكرمة,التعدين,متناهية الصغر,39,13,7,6,72,72,0
2023,1,منطقة مكة المكرمة,التعدين,متوسطة,4,414,384,30,52,52,0
2023,1,منطقة نجران,التعدين,صغيرة,1,0,0,0,13,13,0
2023,1,منطقة نجران,التعدين,متناهية الصغر,3,0,0,0,4,4,0
2023,1,المنطقة الشرقية,التعدين,صغيرة,2,5,5,0,13,13,0
2023,1,المنطقة الشرقية,التعدين,متناهية الصغر,5,3,3,0,8,8,0
2023,1,منطقة الرياض,التعدين,صغيرة,2,3,2,1,18,18,0
2023,1,منطقة الرياض,التعدين,متناهية الصغر,15,2,2,0,49,49,0
2023,1,منطقة الرياض,التعدين,متوسطة,2,69,30,39,63,63,0
2023,1,منطقة القصيم,التعدين,صغيرة,1,2,0,2,10,10,0
2023,1,منطقة القصيم,التعدين,متناهية الصغر,4,2,0,2,6,6,0
2023,1,منطقة حائل,التعدين,متناهية الصغر,1,0,0,0,4,4,0
2023,1,منطقة مكة المكرمة,التعدين,صغيرة,2,6,3,3,24,24,0
2023,1,منطقة مكة المكرمة,التعدين,متناهية الصغر,9,2,2,0,13,13,0
2023,1,منطقة نجران,التعدين,متناهية الصغر,1,0,0,0,4,4,0
2023,1,المنطقة الشرقية,الأنشطه المعماريه والهندسيه,صغيرة,5016,11316,5856,5460,67734,67530,204
2023,1,المنطقة الشرقية,الأنشطه المعماريه والهندسيه,كبيرة,139,25493,17518,7975,124966,124301,665
2023,1,المنطقة الشرقية,الأنشطه المعماريه والهندسيه,متناهية الصغر,12802,3061,1551,1510,30782,30671,111
2023,1,المنطقة الشرقية,الأنشطه المعماريه والهندسيه,متوسطة,753,11023,6412,4611,64350,64223,127
2023,1,منطقة الباحة,الأنشطه المعماريه والهندسيه,صغيرة,216,354,240,114,2130,2122,8
2023,1,منطقة الباحة,الأنشطه المعماريه والهندسيه,متناهية الصغر,1283,223,123,100,3233,3225,8
2023,1,منطقة الباحة,الأنشطه المعماريه والهندسيه,متوسطة,4,64,48,16,296,296,0
2023,1,منطقة الجوف,الأنشطه المعماريه والهندسيه,صغيرة,243,332,207,125,2547,2540,7
2023,1,منطقة الجوف,الأنشطه المعماريه والهندسيه,كبيرة,2,295,217,78,588,497,91
2023,1,منطقة الجوف,الأنشطه المعماريه والهندسيه,متناهية الصغر,1638,211,134,77,4020,4012,8
2023,1,منطقة الجوف,الأنشطه المعماريه والهندسيه,متوسطة,7,102,66,36,466,466,0
2023,1,منطقة الحدود الشمالية,الأنشطه المعماريه والهندسيه,صغيرة,176,275,160,115,1777,1771,6
2023,1,منطقة الحدود الشمالية,الأنشطه المعماريه والهندسيه,كبيرة,3,380,223,157,2379,2355,24
2023,1,منطقة الحدود الشمالية,الأنشطه المعماريه والهندسيه,متناهية الصغر,1609,146,79,67,4299,4291,8
2023,1,منطقة الحدود الشمالية,الأنشطه المعماريه والهندسيه,متوسطة,9,109,64,45,670,670,0
2023,1,منطقة الرياض,الأنشطه المعماريه والهندسيه,صغيرة,7032,15183,6597,8586,89963,89293,670
2023,1,منطقة الرياض,الأنشطه المعماريه والهندسيه,كبيرة,368,27021,14746,12275,227441,224833,2608
2023,1,منطقة الرياض,الأنشطه المعماريه والهندسيه,متناهية الصغر,24451,5546,2590,2956,54430,53972,458
2023,1,منطقة الرياض,الأنشطه المعماريه والهندسيه,متوسطة,1129,14300,6877,7423,105577,104648,929
2023,1,منطقة القصيم,الأنشطه المعماريه والهندسيه,صغيرة,1329,1977,1167,810,15978,15873,105
2023,1,منطقة القصيم,الأنشطه المعماريه والهندسيه,كبيرة,32,476,288,188,13854,13773,81
2023,1,منطقة القصيم,الأنشطه المعماريه والهندسيه,متناهية الصغر,9515,1039,574,465,22829,22784,45
2023,1,منطقة القصيم,الأنشطه المعماريه والهندسيه,متوسطة,156,1023,624,399,16680,16610,70
2023,1,منطقة المدينة المنورة,الأنشطه المعماريه والهندسيه,صغيرة,1305,2354,1307,1047,14418,14347,71
2023,1,منطقة المدينة المنورة,الأنشطه المعماريه والهندسيه,كبيرة,10,1531,645,886,13886,13416,470
2023,1,منطقة المدينة المنورة,الأنشطه المعماريه والهندسيه,متناهية الصغر,6165,985,547,438,15520,15456,64
2023,1,منطقة المدينة المنورة,الأنشطه المعماريه والهندسيه,متوسطة,74,1055,600,455,5920,5910,10
2023,1,منطقة تبوك,الأنشطه المعماريه والهندسيه,صغيرة,304,488,259,229,2952,2948,4
2023,1,منطقة تبوك,الأنشطه المعماريه والهندسيه,كبيرة,1,47,47,0,240,240,0
2023,1,منطقة تبوك,الأنشطه المعماريه والهندسيه,متناهية الصغر,2811,417,211,206,7224,7213,11
2023,1,منطقة تبوك,الأنشطه المعماريه والهندسيه,متوسطة,12,107,52,55,930,918,12
2023,1,منطقة جازان,الأنشطه المعماريه والهندسيه,صغيرة,365,595,294,301,3591,3583,8
2023,1,منطقة جازان,الأنشطه المعماريه والهندسيه,كبيرة,1,24,13,11,461,461,0
2023,1,منطقة جازان,الأنشطه المعماريه والهندسيه,متناهية الصغر,4244,520,281,239,11008,10981,27
2023,1,منطقة جازان,الأنشطه المعماريه والهندسيه,متوسطة,12,212,119,93,1020,1007,13
2023,1,منطقة حائل,الأنشطه المعماريه والهندسيه,صغيرة,381,507,231,276,4035,4016,19
2023,1,منطقة حائل,الأنشطه المعماريه والهندسيه,كبيرة,3,18,6,12,1083,1083,0
2023,1,منطقة حائل,الأنشطه المعماريه والهندسيه,متناهية الصغر,3182,352,186,166,7669,7650,19
2023,1,منطقة حائل,الأنشطه المعماريه والهندسيه,متوسطة,28,373,232,141,2352,2351,1
2023,1,منطقة عسير,الأنشطه المعماريه والهندسيه,صغيرة,981,1543,914,629,9636,9597,39
2023,1,منطقة عسير,الأنشطه المعماريه والهندسيه,كبيرة,3,307,292,15,1415,1415,0
2023,1,منطقة عسير,الأنشطه المعماريه والهندسيه,متناهية الصغر,8294,1156,656,500,19950,19918,32
2023,1,منطقة عسير,الأنشطه المعماريه والهندسيه,متوسطة,39,646,438,208,2947,2941,6
2023,1,منطقة مكة المكرمة,الأنشطه المعماريه والهندسيه,صغيرة,5237,9499,4530,4969,60552,60037,515
2023,1,منطقة مكة المكرمة,الأنشطه المعماريه والهندسيه,كبيرة,92,13017,9148,3869,88813,88090,723
2023,1,منطقة مكة المكرمة,الأنشطه المعماريه والهندسيه,متناهية الصغر,22418,4296,2120,2176,55057,54559,498
2023,1,منطقة مكة المكرمة,الأنشطه المعماريه والهندسيه,متوسطة,474,7235,4085,3150,39388,39055,333
2023,1,منطقة نجران,الأنشطه المعماريه والهندسيه,صغيرة,374,564,276,288,3989,3977,12
2023,1,منطقة نجران,الأنشطه المعماريه والهندسيه,كبيرة,8,938,479,459,2769,2761,8
2023,1,منطقة نجران,الأنشطه المعماريه والهندسيه,متناهية الصغر,2727,277,136,141,6447,6418,29
2023,1,منطقة نجران,الأنشطه المعماريه والهندسيه,متوسطة,44,674,424,250,4270,4268,2
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,صغيرة,35,162,113,49,407,407,0
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,كبيرة,2,812,800,12,212,212,0
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,83,31,15,16,169,169,0
2023,1,المنطقة الشرقية,تجميع المياه ومعالجتها وتوصيلها,متوسطة,1,137,131,6,103,103,0
2023,1,منطقة الباحة,تجميع المياه ومعالجتها وتوصيلها,صغيرة,2,2,1,1,13,13,0
2023,1,منطقة الباحة,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,30,5,3,2,56,56,0
2023,1,منطقة الجوف,تجميع المياه ومعالجتها وتوصيلها,صغيرة,2,9,6,3,35,35,0
2023,1,منطقة الجوف,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,20,0,0,0,48,48,0
2023,1,منطقة الجوف,تجميع المياه ومعالجتها وتوصيلها,متوسطة,1,19,13,6,49,49,0
2023,1,منطقة الحدود الشمالية,تجميع المياه ومعالجتها وتوصيلها,صغيرة,5,4,3,1,35,35,0
2023,1,منطقة الحدود الشمالية,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,17,3,3,0,42,42,0
2023,1,منطقة الرياض,تجميع المياه ومعالجتها وتوصيلها,صغيرة,61,222,121,101,586,585,1
2023,1,منطقة الرياض,تجميع المياه ومعالجتها وتوصيلها,كبيرة,2,264,218,46,556,551,5
2023,1,منطقة الرياض,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,212,57,29,28,472,469,3
2023,1,منطقة الرياض,تجميع المياه ومعالجتها وتوصيلها,متوسطة,13,465,302,163,1024,1024,0
2023,1,منطقة القصيم,تجميع المياه ومعالجتها وتوصيلها,صغيرة,11,28,17,11,95,95,0
2023,1,منطقة القصيم,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,62,10,6,4,140,140,0
2023,1,منطقة القصيم,تجميع المياه ومعالجتها وتوصيلها,متوسطة,2,138,108,30,222,222,0
2023,1,منطقة المدينة المنورة,تجميع المياه ومعالجتها وتوصيلها,صغيرة,10,30,22,8,94,94,0
2023,1,منطقة المدينة المنورة,تجميع المياه ومعالجتها وتوصيلها,كبيرة,1,730,730,0,183,183,0
2023,1,منطقة المدينة المنورة,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,65,15,7,8,117,117,0
2023,1,منطقة المدينة المنورة,تجميع المياه ومعالجتها وتوصيلها,متوسطة,1,28,16,12,64,64,0
2023,1,منطقة تبوك,تجميع المياه ومعالجتها وتوصيلها,صغيرة,5,20,16,4,82,82,0
2023,1,منطقة تبوك,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,50,9,4,5,102,101,1
2023,1,منطقة جازان,تجميع المياه ومعالجتها وتوصيلها,صغيرة,6,57,53,4,38,38,0
2023,1,منطقة جازان,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,85,20,11,9,164,164,0
2023,1,منطقة جازان,تجميع المياه ومعالجتها وتوصيلها,متوسطة,1,54,52,2,26,26,0
2023,1,منطقة حائل,تجميع المياه ومعالجتها وتوصيلها,صغيرة,1,13,11,2,31,31,0
2023,1,منطقة حائل,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,32,4,1,3,71,71,0
2023,1,منطقة حائل,تجميع المياه ومعالجتها وتوصيلها,متوسطة,2,28,22,6,112,112,0
2023,1,منطقة عسير,تجميع المياه ومعالجتها وتوصيلها,صغيرة,16,55,28,27,187,187,0
2023,1,منطقة عسير,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,141,22,10,12,263,263,0
2023,1,منطقة مكة المكرمة,تجميع المياه ومعالجتها وتوصيلها,صغيرة,66,314,232,82,583,582,1
2023,1,منطقة مكة المكرمة,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,385,74,37,37,831,828,3
2023,1,منطقة مكة المكرمة,تجميع المياه ومعالجتها وتوصيلها,متوسطة,11,672,598,74,540,539,1
2023,1,منطقة نجران,تجميع المياه ومعالجتها وتوصيلها,صغيرة,6,6,4,2,70,70,0
2023,1,منطقة نجران,تجميع المياه ومعالجتها وتوصيلها,كبيرة,1,81,62,19,198,195,3
2023,1,منطقة نجران,تجميع المياه ومعالجتها وتوصيلها,متناهية الصغر,25,6,3,3,50,50,0
2023,1,منطقة نجران,تجميع المياه ومعالجتها وتوصيلها,متوسطة,1,21,17,4,35,35,0
2023,1,المنطقة الشرقية,التجارة,صغيرة,1929,4480,2940,1540,17542,17519,23
2023,1,المنطقة الشرقية,التجارة,كبيرة,7,1057,901,156,1535,1533,2
2023,1,المنطقة الشرقية,التجارة,متناهية الصغر,7246,1955,1321,634,16975,16953,22
2023,1,المنطقة الشرقية,التجارة,متوسطة,64,1849,1435,414,3920,3919,1
2023,1,منطقة الباحة,التجارة,صغيرة,72,136,104,32,513,512,1
2023,1,منطقة الباحة,التجارة,متناهية الصغر,711,139,111,28,1580,1579,1
2023,1,منطقة الجوف,التجارة,صغيرة,117,202,162,40,949,948,1
2023,1,منطقة الجوف,التجارة,متناهية الصغر,1045,163,120,43,2463,2458,5
2023,1,منطقة الحدود الشمالية,التجارة,صغيرة,72,141,85,56,570,567,3
2023,1,منطقة الحدود الشمالية,التجارة,متناهية الصغر,726,107,84,23,1734,1733,1
2023,1,منطقة الرياض,التجارة,صغيرة,2798,7414,3843,3571,27353,27260,93
2023,1,منطقة الرياض,التجارة,كبيرة,9,1812,1580,232,4325,4320,5
2023,1,منطقة الرياض,التجارة,متناهية الصغر,14216,2859,1630,1229,33390,33265,125
2023,1,منطقة الرياض,التجارة,متوسطة,121,2983,1928,1055,8147,8107,40
2023,1,منطقة القصيم,التجارة,صغيرة,518,1238,893,345,4709,4707,2
2023,1,منطقة القصيم,التجارة,كبيرة,1,0,0,0,251,251,0
2023,1,منطقة القصيم,التجارة,متناهية الصغر,3658,588,413,175,8445,8438,7
2023,1,منطقة القصيم,التجارة,متوسطة,7,87,56,31,391,391,0
2023,1,منطقة المدينة المنورة,التجارة,صغيرة,381,807,560,247,2986,2978,8
2023,1,منطقة المدينة المنورة,التجارة,متناهية الصغر,3443,633,443,190,8078,8066,12
2023,1,منطقة المدينة المنورة,التجارة,متوسطة,3,61,44,17,250,250,0
2023,1,منطقة تبوك,التجارة,صغيرة,181,366,276,90,1454,1452,2
2023,1,منطقة تبوك,التجارة,متناهية الصغر,1744,263,178,85,4221,4215,6
2023,1,منطقة تبوك,التجارة,متوسطة,3,48,38,10,154,154,0
2023,1,منطقة جازان,التجارة,صغيرة,163,375,278,97,1329,1326,3
2023,1,منطقة جازان,التجارة,كبيرة,1,121,111,10,229,229,0
2023,1,منطقة جازان,التجارة,متناهية الصغر,2756,353,248,105,6532,6523,9
2023,1,منطقة جازان,التجارة,متوسطة,4,76,61,15,232,231,1
2023,1,منطقة حائل,التجارة,صغيرة,213,450,292,158,1918,1917,1
2023,1,منطقة حائل,التجارة,متناهية الصغر,1394,209,138,71,3274,3270,4
2023,1,منطقة حائل,التجارة,متوسطة,2,40,26,14,107,107,0
2023,1,منطقة عسير,التجارة,صغيرة,528,1175,801,374,4561,4559,2
2023,1,منطقة عسير,التجارة,متناهية الصغر,4187,704,500,204,9718,9694,24
2023,1,منطقة عسير,التجارة,متوسطة,9,215,184,31,480,480,0
2023,1,منطقة مكة المكرمة,التجارة,صغيرة,1633,4245,2751,1494,14547,14491,56
2023,1,منطقة مكة المكرمة,التجارة,كبيرة,20,3970,3233,737,6688,6657,31
2023,1,منطقة مكة المكرمة,التجارة,متناهية الصغر,11488,2133,1349,784,27172,27040,132
2023,1,منطقة مكة المكرمة,التجارة,متوسطة,77,2648,2121,527,4981,4963,18
2023,1,منطقة نجران,التجارة,صغيرة,97,222,133,89,937,936,1
2023,1,منطقة نجران,التجارة,متناهية الصغر,914,128,77,51,2220,2214,6
2023,1,منطقة نجران,التجارة,متوسطة,3,53,25,28,130,129,1
2023,1,المنطقة الشرقية,التجارة,صغيرة,2322,9336,5154,4182,21830,21745,85
2023,1,المنطقة الشرقية,التجارة,كبيرة,14,3854,2428,1426,3977,3967,10
2023,1,المنطقة الشرقية,التجارة,متناهية الصغر,6642,3557,1969,1588,12805,12721,84
2023,1,المنطقة الشرقية,التجارة,متوسطة,184,6688,4308,2380,11719,11625,94
2023,1,منطقة الباحة,التجارة,صغيرة,87,273,179,94,733,732,1
2023,1,منطقة الباحة,التجارة,متناهية الصغر,422,167,118,49,810,805,5
2023,1,منطقة الباحة,التجارة,متوسطة,2,48,33,15,88,88,0
2023,1,منطقة الجوف,التجارة,صغيرة,117,325,209,116,998,996,2
2023,1,منطقة الجوف,التجارة,متناهية الصغر,643,195,131,64,1305,1300,5
2023,1,منطقة الجوف,التجارة,متوسطة,2,99,31,68,162,161,1
2023,1,منطقة الحدود الشمالية,التجارة,صغيرة,48,123,70,53,357,356,1
2023,1,منطقة الحدود الشمالية,التجارة,متناهية الصغر,407,111,67,44,879,878,1
2023,1,منطقة الحدود الشمالية,التجارة,متوسطة,1,0,0,0,108,108,0
2023,1,منطقة الرياض,التجارة,صغيرة,5411,22267,9981,12286,53693,53022,671
2023,1,منطقة الرياض,التجارة,كبيرة,57,19601,11956,7645,19388,19003,385
2023,1,منطقة الرياض,التجارة,متناهية الصغر,17008,6863,3249,3614,33868,33360,508
2023,1,منطقة الرياض,التجارة,متوسطة,430,14732,7455,7277,25885,25482,403
2023,1,منطقة القصيم,التجارة,صغيرة,435,1552,935,617,3988,3970,18
2023,1,منطقة القصيم,التجارة,كبيرة,1,290,82,208,7,7,0
2023,1,منطقة القصيم,التجارة,متناهية الصغر,2238,759,500,259,4519,4493,26
2023,1,منطقة القصيم,التجارة,متوسطة,25,419,281,138,1597,1579,18
2023,1,منطقة المدينة المنورة,التجارة,صغيرة,644,2215,1335,880,5323,5285,38
2023,1,منطقة المدينة المنورة,التجارة,متناهية الصغر,3105,990,591,399,6409,6351,58
2023,1,منطقة المدينة المنورة,التجارة,متوسطة,18,525,337,188,1051,1048,3
2023,1,منطقة تبوك,التجارة,صغيرة,159,614,323,291,1514,1511,3
2023,1,منطقة تبوك,التجارة,متناهية الصغر,936,322,169,153,1824,1815,9
2023,1,منطقة تبوك,التجارة,متوسطة,9,190,121,69,510,508,2
2023,1,منطقة جازان,التجارة,صغيرة,253,843,473,370,2369,2366,3
2023,1,منطقة جازان,التجارة,متناهية الصغر,1803,425,259,166,3904,3882,22
2023,1,منطقة جازان,التجارة,متوسطة,5,86,63,23,352,350,2
2023,1,منطقة حائل,التجارة,صغيرة,160,553,279,274,1413,1404,9
2023,1,منطقة حائل,التجارة,متناهية الصغر,760,219,134,85,1624,1618,6
2023,1,منطقة حائل,التجارة,متوسطة,4,79,62,17,185,185,0
2023,1,منطقة عسير,التجارة,صغيرة,527,1898,1220,678,4713,4707,6
2023,1,منطقة عسير,التجارة,متناهية الصغر,2279,863,553,310,4794,4768,26
2023,1,منطقة عسير,التجارة,متوسطة,18,516,321,195,952,946,6
2023,1,منطقة مكة المكرمة,التجارة,صغيرة,4868,18902,8933,9969,47978,47330,648
2023,1,منطقة مكة المكرمة,التجارة,كبيرة,36,7361,5245,2116,9129,8946,183
2023,1,منطقة مكة المكرمة,التجارة,متناهية الصغر,15126,5562,2756,2806,31487,30903,584
2023,1,منطقة مكة المكرمة,التجارة,متوسطة,358,12727,6879,5848,21257,20943,314
2023,1,منطقة نجران,التجارة,صغيرة,106,345,189,156,979,966,13
2023,1,منطقة نجران,التجارة,متناهية الصغر,627,164,92,72,1432,1424,8
2023,1,منطقة نجران,التجارة,متوسطة,6,152,91,61,286,286,0
2023,1,المنطقة الشرقية,التجارة,صغيرة,3503,12795,6108,6687,30546,30333,213
2023,1,المنطقة الشرقية,التجارة,كبيرة,28,7321,3802,3519,10785,10028,757
2023,1,المنطقة الشرقية,التجارة,متناهية الصغر,17541,7471,3790,3681,34790,34568,222
2023,1,المنطقة الشرقية,التجارة,متوسطة,206,6991,3526,3465,13068,12993,75
2023,1,منطقة الباحة,التجارة,صغيرة,239,750,478,272,1781,1779,2
2023,1,منطقة الباحة,التجارة,متناهية الصغر,1601,596,377,219,2938,2925,13
2023,1,منطقة الباحة,التجارة,متوسطة,4,72,54,18,171,171,0
2023,1,منطقة الجوف,التجارة,صغيرة,301,805,480,325,2367,2341,26
2023,1,منطقة الجوف,التجارة,متناهية الصغر,2591,714,454,260,5120,5100,20
2023,1,منطقة الجوف,التجارة,متوسطة,6,178,66,112,348,348,0
2023,1,منطقة الحدود الشمالية,التجارة,صغيرة,168,463,225,238,1322,1312,10
2023,1,منطقة الحدود الشمالية,التجارة,متناهية الصغر,1952,462,249,213,4035,4016,19
2023,1,منطقة الحدود الشمالية,التجارة,متوسطة,4,63,43,20,301,293,8
2023,1,منطقة الرياض,التجارة,صغيرة,7120,28831,12161,16670,69736,68715,1021
2023,1,منطقة الرياض,التجارة,كبيرة,100,34209,18792,15417,47682,47059,623
2023,1,منطقة الرياض,التجارة,متناهية الصغر,33690,11379,5417,5962,70093,69126,967
2023,1,منطقة الرياض,التجارة,متوسطة,603,19870,8906,10964,37666,36920,746
2023,1,منطقة القصيم,التجارة,صغيرة,1069,3747,2356,1391,9530,9485,45
2023,1,منطقة القصيم,التجارة,كبيرة,3,434,147,287,992,992,0
2023,1,منطقة القصيم,التجارة,متناهية الصغر,6874,2239,1368,871,13818,13745,73
2023,1,منطقة القصيم,التجارة,متوسطة,58,1354,793,561,3359,3355,4
2023,1,منطقة المدينة المنورة,التجارة,صغيرة,1361,4678,2537,2141,10691,10625,66
2023,1,منطقة المدينة المنورة,التجارة,كبيرة,1,89,50,39,233,233,0
2023,1,منطقة المدينة المنورة,التجارة,متناهية الصغر,10349,3160,1917,1243,21572,21357,215
2023,1,منطقة المدينة المنورة,التجارة,متوسطة,54,1627,706,921,3005,2970,35
2023,1,منطقة تبوك,التجارة,صغيرة,423,1332,662,670,3106,3092,14
2023,1,منطقة تبوك,التجارة,كبيرة,1,162,128,34,231,231,0
2023,1,منطقة تبوك,التجارة,متناهية الصغر,3972,1124,597,527,7966,7929,37
2023,1,منطقة تبوك,التجارة,متوسطة,7,370,134,236,448,448,0
2023,1,منطقة جازان,التجارة,صغيرة,738,2217,1172,1045,6027,6005,22
2023,1,منطقة جازان,التجارة,متناهية الصغر,7362,1935,1100,835,15228,15122,106
2023,1,منطقة جازان,التجارة,متوسطة,16,728,277,451,885,873,12
2023,1,منطقة حائل,التجارة,صغيرة,403,1236,609,627,3415,3386,29
2023,1,منطقة حائل,التجارة,كبيرة,1,170,76,94,267,267,0
2023,1,منطقة حائل,التجارة,متناهية الصغر,3449,1004,507,497,6975,6937,38
2023,1,منطقة حائل,التجارة,متوسطة,13,305,101,204,604,603,1
2023,1,منطقة عسير,التجارة,صغيرة,1213,4091,2186,1905,9738,9704,34
2023,1,منطقة عسير,التجارة,كبيرة,2,408,182,226,447,444,3
2023,1,منطقة عسير,التجارة,متناهية الصغر,9539,3128,1976,1152,18797,18703,94
2023,1,منطقة عسير,التجارة,متوسطة,32,865,376,489,1746,1707,39
2023,1,منطقة مكة المكرمة,التجارة,صغيرة,6140,23510,10406,13104,54797,54023,774
2023,1,منطقة مكة المكرمة,التجارة,كبيرة,40,11187,5212,5975,12398,12004,394
2023,1,منطقة مكة المكرمة,التجارة,متناهية الصغر,34011,10938,5658,5280,71725,70587,1138
2023,1,منطقة مكة المكرمة,التجارة,متوسطة,394,13461,6748,6713,23575,23181,394
2023,1,منطقة نجران,التجارة,صغيرة,308,859,398,461,2601,2579,22
2023,1,منطقة نجران,التجارة,متناهية الصغر,2678,552,277,275,5683,5648,35
2023,1,منطقة نجران,التجارة,متوسطة,9,299,97,202,633,627,6
2023,1,المنطقة الشرقية,الخدمات,صغيرة,265,365,193,172,3031,3026,5
2023,1,المنطقة الشرقية,الخدمات,كبيرة,3,1840,1288,552,9667,9648,19
2023,1,المنطقة الشرقية,الخدمات,متناهية الصغر,1881,261,139,122,2816,2812,4
2023,1,المنطقة الشرقية,الخدمات,متوسطة,23,390,256,134,1908,1903,5
