,السنة,الربع,المنطقة,النشاط الاقتصادي,حجم المنشأة,عدد المنشآت,عدد العاملين السعوديين,عدد السعوديين (ذكور),عدد السعوديات (إناث),عدد العاملين الأجانب,عدد الأجانب (ذكور),عدد الأجنبيات (إناث)
2278,2023,1,منطقة الباحة,الأنشطة العقارية,متناهية الصغر,30,13,7,6,56,56,0
2279,2023,1,منطقة الجوف,الأنشطة العقارية,صغيرة,7,47,28,19,69,68,1
2280,2023,1,منطقة الجوف,الأنشطة العقارية,متناهية الصغر,55,30,15,15,89,87,2
2281,2023,1,منطقة الحدود الشمالية,الأنشطة العقارية,صغيرة,4,20,15,5,31,31,0
2282,2023,1,منطقة الحدود الشمالية,الأنشطة العقارية,متناهية الصغر,39,11,6,5,72,70,2
2283,2023,1,منطقة الرياض,الأنشطة العقارية,صغيرة,754,4871,2915,1956,6268,6130,138
2284,2023,1,منطقة الرياض,الأنشطة العقارية,كبيرة,9,2998,2055,943,1947,1893,54
2285,2023,1,منطقة الرياض,الأنشطة العقارية,متناهية الصغر,2286,1912,1150,762,3168,3118,50
2286,2023,1,منطقة الرياض,الأنشطة العقارية,متوسطة,61,3187,2268,919,2880,2819,61
2287,2023,1,منطقة القصيم,الأنشطة العقارية,صغيرة,28,184,113,71,210,209,1
2288,2023,1,منطقة القصيم,الأنشطة العقارية,كبيرة,1,51,30,21,214,214,0
2289,2023,1,منطقة القصيم,الأنشطة العقارية,متناهية الصغر,194,103,66,37,304,299,5
2290,2023,1,منطقة القصيم,الأنشطة العقارية,متوسطة,6,196,96,100,574,574,0
2291,2023,1,منطقة المدينة المنورة,الأنشطة العقارية,صغيرة,43,204,136,68,347,347,0
2292,2023,1,منطقة المدينة المنورة,الأنشطة العقارية,متناهية الصغر,300,132,82,50,510,503,7
2293,2023,1,منطقة المدينة المنورة,الأنشطة العقارية,متوسطة,4,131,89,42,238,232,6
2294,2023,1,منطقة تبوك,الأنشطة العقارية,صغيرة,10,53,39,14,111,110,1
2295,2023,1,منطقة تبوك,الأنشطة العقارية,متناهية الصغر,132,51,33,18,211,211,0
2296,2023,1,منطقة جازان,الأنشطة العقارية,صغيرة,15,32,13,19,149,148,1
2297,2023,1,منطقة جازان,الأنشطة العقارية,متناهية الصغر,169,64,33,31,280,278,2
2298,2023,1,منطقة جازان,الأنشطة العقارية,متوسطة,1,24,12,12,30,30,0
2299,2023,1,منطقة حائل,الأنشطة العقارية,صغيرة,10,53,40,13,72,72,0
2300,2023,1,منطقة حائل,الأنشطة العقارية,متناهية الصغر,89,38,20,18,142,142,0
2301,2023,1,منطقة حائل,الأنشطة العقارية,متوسطة,1,0,0,0,59,59,0
2302,2023,1,منطقة عسير,الأنشطة العقارية,صغيرة,35,126,87,39,241,241,0
2303,2023,1,منطقة عسير,الأنشطة العقارية,متناهية الصغر,295,128,73,55,467,463,4
2304,2023,1,منطقة عسير,الأنشطة العقارية,متوسطة,4,73,41,32,252,251,1
2305,2023,1,منطقة مكة المكرمة,الأنشطة العقارية,صغيرة,457,2392,1373,1019,3922,3809,113
2306,2023,1,منطقة مكة المكرمة,الأنشطة العقارية,كبيرة,3,927,511,416,553,531,22
2307,2023,1,منطقة مكة المكرمة,الأنشطة العقارية,متناهية الصغر,1951,1174,683,491,3076,2998,78
2308,2023,1,منطقة مكة المكرمة,الأنشطة العقارية,متوسطة,40,1518,1094,424,2331,2253,78
2309,2023,1,منطقة نجران,الأنشطة العقارية,صغيرة,7,31,16,15,63,63,0
2310,2023,1,منطقة نجران,الأنشطة العقارية,متناهية الصغر,66,9,6,3,118,117,1
2311,2023,1,المنطقة الشرقية,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,145,579,232,347,1221,1023,198
2312,2023,1,المنطقة الشرقية,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,319,265,88,177,478,429,49
2313,2023,1,المنطقة الشرقية,الأنشطة الرياضية وأنشطة التسلية والترفيه,متوسطة,8,282,99,183,436,425,11
2314,2023,1,منطقة الباحة,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,2,7,4,3,11,11,0
2315,2023,1,منطقة الباحة,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,30,23,11,12,57,50,7
2316,2023,1,منطقة الجوف,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,10,45,24,21,60,60,0
2317,2023,1,منطقة الجوف,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,39,15,6,9,69,63,6
2318,2023,1,منطقة الحدود الشمالية,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,9,29,10,19,69,56,13
2319,2023,1,منطقة الحدود الشمالية,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,47,17,8,9,97,88,9
2320,2023,1,منطقة الرياض,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,278,1411,519,892,2613,2251,362
2321,2023,1,منطقة الرياض,الأنشطة الرياضية وأنشطة التسلية والترفيه,كبيرة,6,1438,867,571,1900,1532,368
2322,2023,1,منطقة الرياض,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,768,474,155,319,1359,1242,117
2323,2023,1,منطقة الرياض,الأنشطة الرياضية وأنشطة التسلية والترفيه,متوسطة,29,1331,447,884,1516,1225,291
2324,2023,1,منطقة القصيم,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,49,233,103,130,361,329,32
2325,2023,1,منطقة القصيم,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,75,67,30,37,103,89,14
2326,2023,1,منطقة القصيم,الأنشطة الرياضية وأنشطة التسلية والترفيه,متوسطة,1,60,12,48,155,155,0
2327,2023,1,منطقة المدينة المنورة,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,37,181,59,122,268,247,21
2328,2023,1,منطقة المدينة المنورة,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,102,83,33,50,164,143,21
2329,2023,1,منطقة المدينة المنورة,الأنشطة الرياضية وأنشطة التسلية والترفيه,متوسطة,2,85,37,48,124,113,11
2330,2023,1,منطقة تبوك,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,25,101,33,68,150,130,20
2331,2023,1,منطقة تبوك,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,76,36,11,25,133,125,8
2332,2023,1,منطقة جازان,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,12,35,9,26,177,161,16
2333,2023,1,منطقة جازان,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,69,43,14,29,102,88,14
2334,2023,1,منطقة جازان,الأنشطة الرياضية وأنشطة التسلية والترفيه,متوسطة,3,33,18,15,195,195,0
2335,2023,1,منطقة حائل,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,23,85,35,50,203,201,2
2336,2023,1,منطقة حائل,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,60,39,21,18,107,102,5
2337,2023,1,منطقة عسير,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,65,285,81,204,568,499,69
2338,2023,1,منطقة عسير,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,145,88,35,53,249,236,13
2339,2023,1,منطقة مكة المكرمة,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,199,1023,384,639,1514,1293,221
2340,2023,1,منطقة مكة المكرمة,الأنشطة الرياضية وأنشطة التسلية والترفيه,كبيرة,1,140,76,64,166,109,57
2341,2023,1,منطقة مكة المكرمة,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,605,383,154,229,1064,966,98
2342,2023,1,منطقة مكة المكرمة,الأنشطة الرياضية وأنشطة التسلية والترفيه,متوسطة,25,1257,490,767,1272,1147,125
2343,2023,1,منطقة نجران,الأنشطة الرياضية وأنشطة التسلية والترفيه,صغيرة,16,68,38,30,117,113,4
2344,2023,1,منطقة نجران,الأنشطة الرياضية وأنشطة التسلية والترفيه,متناهية الصغر,41,22,13,9,87,81,6
2345,2023,1,المنطقة الشرقية,الأنشطة البيطرية,صغيرة,13,65,25,40,137,129,8
2346,2023,1,المنطقة الشرقية,الأنشطة البيطرية,متناهية الصغر,50,30,15,15,84,77,7
2347,2023,1,منطقة الباحة,الأنشطة البيطرية,متناهية الصغر,2,1,0,1,2,2,0
2348,2023,1,منطقة الجوف,الأنشطة البيطرية,متناهية الصغر,1,0,0,0,3,3,0
2349,2023,1,منطقة الحدود الشمالية,الأنشطة البيطرية,متناهية الصغر,5,3,2,1,10,10,0
2350,2023,1,منطقة الرياض,الأنشطة البيطرية,صغيرة,35,161,65,96,324,283,41
2351,2023,1,منطقة الرياض,الأنشطة البيطرية,متناهية الصغر,83,50,17,33,144,138,6
2352,2023,1,منطقة الرياض,الأنشطة البيطرية,متوسطة,3,89,40,49,124,115,9
2353,2023,1,منطقة القصيم,الأنشطة البيطرية,صغيرة,3,11,9,2,10,10,0
2354,2023,1,منطقة القصيم,الأنشطة البيطرية,متناهية الصغر,19,5,2,3,33,31,2
2355,2023,1,منطقة القصيم,الأنشطة البيطرية,متوسطة,1,31,31,0,55,55,0
2356,2023,1,منطقة المدينة المنورة,الأنشطة البيطرية,صغيرة,4,15,4,11,22,17,5
2357,2023,1,منطقة المدينة المنورة,الأنشطة البيطرية,متناهية الصغر,17,2,1,1,31,30,1
2358,2023,1,منطقة تبوك,الأنشطة البيطرية,صغيرة,2,7,1,6,17,16,1
2359,2023,1,منطقة تبوك,الأنشطة البيطرية,متناهية الصغر,8,7,6,1,14,14,0
2360,2023,1,منطقة جازان,الأنشطة البيطرية,متناهية الصغر,7,4,2,2,14,14,0
2361,2023,1,منطقة حائل,الأنشطة البيطرية,صغيرة,1,1,0,1,6,6,0
2362,2023,1,منطقة حائل,الأنشطة البيطرية,متناهية الصغر,7,0,0,0,14,13,1
2363,2023,1,منطقة عسير,الأنشطة البيطرية,صغيرة,3,7,5,2,27,24,3
2364,2023,1,منطقة عسير,الأنشطة البيطرية,متناهية الصغر,33,6,2,4,54,53,1
2365,2023,1,منطقة مكة المكرمة,الأنشطة البيطرية,صغيرة,20,98,23,75,181,156,25
2366,2023,1,منطقة مكة المكرمة,الأنشطة البيطرية,متناهية الصغر,56,23,8,15,101,96,5
2367,2023,1,منطقة مكة المكرمة,الأنشطة البيطرية,متوسطة,1,19,6,13,45,38,7
2368,2023,1,منطقة نجران,الأنشطة البيطرية,متناهية الصغر,11,2,1,1,17,17,0
2573,2023,1,المنطقة الشرقية,الاتصالات,صغيرة,27,201,142,59,245,240,5
2574,2023,1,المنطقة الشرقية,الاتصالات,متناهية الصغر,98,61,35,26,157,155,2
2575,2023,1,المنطقة الشرقية,الاتصالات,متوسطة,2,91,84,7,50,50,0
2576,2023,1,منطقة الباحة,الاتصالات,صغيرة,1,3,1,2,6,6,0
2577,2023,1,منطقة الباحة,الاتصالات,متناهية الصغر,3,3,3,0,3,3,0
2578,2023,1,منطقة الجوف,الاتصالات,متناهية الصغر,15,7,3,4,22,22,0
2579,2023,1,منطقة الحدود الشمالية,الاتصالات,متناهية الصغر,13,4,0,4,28,27,1
2580,2023,1,منطقة الرياض,الاتصالات,صغيرة,128,863,386,477,1365,1300,65
2581,2023,1,منطقة الرياض,الاتصالات,كبيرة,12,19729,15214,4515,2735,2679,56
2582,2023,1,منطقة الرياض,الاتصالات,متناهية الصغر,348,190,106,84,641,633,8
2583,2023,1,منطقة الرياض,الاتصالات,متوسطة,30,2045,1330,715,1265,1229,36
2584,2023,1,منطقة القصيم,الاتصالات,صغيرة,5,28,10,18,51,51,0
2585,2023,1,منطقة القصيم,الاتصالات,متناهية الصغر,57,16,10,6,106,106,0
2586,2023,1,منطقة المدينة المنورة,الاتصالات,صغيرة,3,16,5,11,6,6,0
2587,2023,1,منطقة المدينة المنورة,الاتصالات,متناهية الصغر,31,11,8,3,57,57,0
2588,2023,1,منطقة تبوك,الاتصالات,صغيرة,1,2,1,1,5,5,0
2589,2023,1,منطقة تبوك,الاتصالات,متناهية الصغر,16,6,4,2,19,19,0
2590,2023,1,منطقة جازان,الاتصالات,صغيرة,2,2,2,0,12,12,0
2591,2023,1,منطقة جازان,الاتصالات,متناهية الصغر,21,4,3,1,36,36,0
2592,2023,1,منطقة حائل,الاتصالات,صغيرة,1,0,0,0,9,9,0
2593,2023,1,منطقة حائل,الاتصالات,متناهية الصغر,17,9,2,7,30,28,2
2594,2023,1,منطقة عسير,الاتصالات,صغيرة,3,6,4,2,14,14,0
2595,2023,1,منطقة عسير,الاتصالات,متناهية الصغر,43,17,12,5,68,67,1
2596,2023,1,منطقة مكة المكرمة,الاتصالات,صغيرة,31,235,102,133,292,282,10
2597,2023,1,منطقة مكة المكرمة,الاتصالات,متناهية الصغر,236,82,47,35,397,391,6
2598,2023,1,منطقة مكة المكرمة,الاتصالات,متوسطة,1,73,71,2,29,29,0
2599,2023,1,منطقة نجران,الاتصالات,صغيرة,1,0,0,0,11,11,0
2600,2023,1,منطقة نجران,الاتصالات,متناهية الصغر,11,1,1,0,25,25,0
